#the total throughput for the optical system including mirror+lenses+ccd, filter transmission is not included
#creator: /Users/zhuqf/research/WFST/sensitivity/throughput/compute_tot_trans.pro
#source: /Users/zhuqf/research/WFST/sensitivity/throughput/tele_trans/tele_trans.txt
#source: /Users/zhuqf/research/WFST/sensitivity/throughput/optics_trans/corrector_trans.txt
#source: /Users/zhuqf/research/WFST/sensitivity/throughput/ccd_qe/ccd_qe_sci.txt
     wave     trans_tot_sys
 3000.000         0.0005906
 3001.000         0.0006274
 3002.000         0.0006668
 3003.000         0.0007087
 3004.000         0.0007532
 3005.000         0.0008003
 3006.000         0.0008499
 3007.000         0.0009021
 3008.000         0.0009570
 3009.000         0.0010146
 3010.000         0.0010749
 3011.000         0.0011382
 3012.000         0.0012044
 3013.000         0.0012735
 3014.000         0.0013455
 3015.000         0.0014205
 3016.000         0.0014985
 3017.000         0.0015793
 3018.000         0.0016632
 3019.000         0.0017499
 3020.000         0.0018396
 3021.000         0.0019323
 3022.000         0.0020278
 3023.000         0.0021263
 3024.000         0.0022278
 3025.000         0.0023324
 3026.000         0.0024401
 3027.000         0.0025510
 3028.000         0.0026651
 3029.000         0.0027826
 3030.000         0.0029035
 3031.000         0.0030280
 3032.000         0.0031561
 3033.000         0.0032878
 3034.000         0.0034234
 3035.000         0.0035627
 3036.000         0.0037060
 3037.000         0.0038533
 3038.000         0.0040047
 3039.000         0.0041602
 3040.000         0.0043199
 3041.000         0.0044840
 3042.000         0.0046523
 3043.000         0.0048249
 3044.000         0.0050015
 3045.000         0.0051823
 3046.000         0.0053670
 3047.000         0.0055559
 3048.000         0.0057487
 3049.000         0.0059456
 3050.000         0.0061465
 3051.000         0.0063515
 3052.000         0.0065606
 3053.000         0.0067735
 3054.000         0.0069903
 3055.000         0.0072109
 3056.000         0.0074352
 3057.000         0.0076630
 3058.000         0.0078944
 3059.000         0.0081292
 3060.000         0.0083673
 3061.000         0.0086086
 3062.000         0.0088532
 3063.000         0.0091014
 3064.000         0.0093532
 3065.000         0.0096089
 3066.000         0.0098686
 3067.000         0.0101325
 3068.000         0.0104009
 3069.000         0.0106740
 3070.000         0.0109522
 3071.000         0.0112356
 3072.000         0.0115244
 3073.000         0.0118189
 3074.000         0.0121193
 3075.000         0.0124257
 3076.000         0.0127385
 3077.000         0.0130579
 3078.000         0.0133841
 3079.000         0.0137174
 3080.000         0.0140582
 3081.000         0.0144066
 3082.000         0.0147625
 3083.000         0.0151256
 3084.000         0.0154956
 3085.000         0.0158721
 3086.000         0.0162550
 3087.000         0.0166438
 3088.000         0.0170385
 3089.000         0.0174385
 3090.000         0.0178437
 3091.000         0.0182538
 3092.000         0.0186684
 3093.000         0.0190872
 3094.000         0.0195098
 3095.000         0.0199359
 3096.000         0.0203650
 3097.000         0.0207968
 3098.000         0.0212308
 3099.000         0.0216665
 3100.000         0.0221035
 3101.000         0.0225414
 3102.000         0.0229806
 3103.000         0.0234215
 3104.000         0.0238649
 3105.000         0.0243113
 3106.000         0.0247614
 3107.000         0.0252158
 3108.000         0.0256753
 3109.000         0.0261406
 3110.000         0.0266126
 3111.000         0.0270919
 3112.000         0.0275788
 3113.000         0.0280731
 3114.000         0.0285750
 3115.000         0.0290843
 3116.000         0.0296010
 3117.000         0.0301251
 3118.000         0.0306565
 3119.000         0.0311952
 3120.000         0.0317411
 3121.000         0.0322941
 3122.000         0.0328542
 3123.000         0.0334213
 3124.000         0.0339955
 3125.000         0.0345768
 3126.000         0.0351653
 3127.000         0.0357609
 3128.000         0.0363639
 3129.000         0.0369742
 3130.000         0.0375920
 3131.000         0.0382175
 3132.000         0.0388505
 3133.000         0.0394911
 3134.000         0.0401392
 3135.000         0.0407948
 3136.000         0.0414578
 3137.000         0.0421283
 3138.000         0.0428063
 3139.000         0.0434917
 3140.000         0.0441847
 3141.000         0.0448852
 3142.000         0.0455932
 3143.000         0.0463088
 3144.000         0.0470319
 3145.000         0.0477626
 3146.000         0.0485011
 3147.000         0.0492474
 3148.000         0.0500017
 3149.000         0.0507642
 3150.000         0.0515351
 3151.000         0.0523147
 3152.000         0.0531024
 3153.000         0.0538978
 3154.000         0.0547001
 3155.000         0.0555089
 3156.000         0.0563234
 3157.000         0.0571431
 3158.000         0.0579672
 3159.000         0.0587951
 3160.000         0.0596260
 3161.000         0.0604591
 3162.000         0.0612943
 3163.000         0.0621313
 3164.000         0.0629699
 3165.000         0.0638099
 3166.000         0.0646510
 3167.000         0.0654931
 3168.000         0.0663359
