#creator: /Users/zhuqf/research/WFST/sensitivity/throughput/filter_trans/ioe/convert_ioe_filter_trans.pro
#source: #/Users/zhuqf/research/WFST/sensitivity/throughput/filter_trans/ioe//Users/zhuqf/research/WFST/sensitivity/throughput/filter_trans/ioe/i_filter.txt
col1            col2 
2500.000  0.0000000
 2510.000  0.0000000
 2520.000  0.0000000
 2530.000  0.0000000
 2540.000  0.0000000
 2550.000  0.0000000
 2560.000  0.0000000
 2570.000  0.0000000
 2580.000  0.0000000
 2590.000  0.0000000
 2600.000  0.0000000
 2610.000  0.0000000
 2620.000  0.0000000
 2630.000  0.0000000
 2640.000  0.0000000
 2650.000  0.0000000
 2660.000  0.0000000
 2670.000  0.0000000
 2680.000  0.0000000
 2690.000  0.0000000
 2700.000  0.0000000
 2710.000  0.0000000
 2720.000  0.0000000
 2730.000  0.0000000
 2740.000  0.0000000
 2750.000  0.0000000
 2760.000  0.0000000
 2770.000  0.0000000
 2780.000  0.0000000
 2790.000  0.0000000
 2800.000  0.0000000
 2810.000  0.0000000
 2820.000  0.0000000
 2830.000  0.0000000
 2840.000  0.0000000
 2850.000  0.0000000
 2860.000  0.0000000
 2870.000  0.0000000
 2880.000  0.0000000
 2890.000  0.0000000
 2900.000  0.0000000
 2910.000  0.0000000
 2920.000  0.0000000
 2930.000  0.0000000
 2940.000  0.0000000
 2950.000  0.0000001
 2960.000  0.0000006
 2970.000  0.0000032
 2980.000  0.0000181
 2990.000  0.0000931
 3000.000  0.0003510
 3010.000  0.0003746
 3020.000  0.0004073
 3030.000  0.0003272
 3040.000  0.0002341
 3050.000  0.0003301
 3060.000  0.0028929
 3070.000  0.0030440
 3080.000  0.0014765
 3090.000  0.0002354
 3100.000  0.0000924
 3110.000  0.0001091
 3120.000  0.0000752
 3130.000  0.0000971
 3140.000  0.0001040
 3150.000  0.0000398
 3160.000  0.0000473
 3170.000  0.0001741
 3180.000  0.0001287
 3190.000  0.0000157
 3200.000  0.0000122
 3210.000  0.0000114
 3220.000  0.0000026
 3230.000  0.0000004
 3240.000  0.0000001
 3250.000  0.0000000
 3260.000  0.0000000
 3270.000  0.0000000
 3280.000  0.0000000
 3290.000  0.0000000
 3300.000  0.0000000
 3310.000  0.0000000
 3320.000  0.0000000
 3330.000  0.0000000
 3340.000  0.0000000
 3350.000  0.0000000
 3360.000  0.0000000
 3370.000  0.0000001
 3380.000  0.0000001
 3390.000  0.0000003
 3400.000  0.0000009
 3410.000  0.0000019
 3420.000  0.0000041
 3430.000  0.0000198
 3440.000  0.0001658
 3450.000  0.0010996
 3460.000  0.0004316
 3470.000  0.0004528
 3480.000  0.0013458
 3490.000  0.0088240
 3500.000  0.0064237
 3510.000  0.0024687
 3520.000  0.0020409
 3530.000  0.0031064
 3540.000  0.0068717
 3550.000  0.0048153
 3560.000  0.0022673
 3570.000  0.0017947
 3580.000  0.0023100
 3590.000  0.0032065
 3600.000  0.0017622
 3610.000  0.0007759
 3620.000  0.0004674
 3630.000  0.0003794
 3640.000  0.0003963
 3650.000  0.0005199
 3660.000  0.0008567
 3670.000  0.0018160
 3680.000  0.0044700
 3690.000  0.0048929
 3700.000  0.0026339
 3710.000  0.0019122
 3720.000  0.0018054
 3730.000  0.0008716
 3740.000  0.0002315
 3750.000  0.0000756
 3760.000  0.0000325
 3770.000  0.0000175
 3780.000  0.0000113
 3790.000  0.0000086
 3800.000  0.0000076
 3810.000  0.0000077
 3820.000  0.0000089
 3830.000  0.0000118
 3840.000  0.0000166
 3850.000  0.0000208
 3860.000  0.0000192
 3870.000  0.0000146
 3880.000  0.0000114
 3890.000  0.0000099
 3900.000  0.0000099
 3910.000  0.0000112
 3920.000  0.0000144
 3930.000  0.0000212
 3940.000  0.0000355
 3950.000  0.0000677
 3960.000  0.0001458
 3970.000  0.0003342
 3980.000  0.0006474
 3990.000  0.0007176
 4000.000  0.0005255
 4010.000  0.0003887
 4020.000  0.0003303
 4030.000  0.0003385
 4040.000  0.0004307
 4050.000  0.0006541
 4060.000  0.0007532
 4070.000  0.0003975
 4080.000  0.0001806
 4090.000  0.0000983
 4100.000  0.0000645
 4110.000  0.0000496
 4120.000  0.0000437
 4130.000  0.0000437
 4140.000  0.0000494
 4150.000  0.0000636
 4160.000  0.0000946
 4170.000  0.0001659
 4180.000  0.0003486
 4190.000  0.0007778
 4200.000  0.0010804
 4210.000  0.0008649
 4220.000  0.0007249
 4230.000  0.0007879
 4240.000  0.0011806
 4250.000  0.0025180
 4260.000  0.0035758
 4270.000  0.0013504
 4280.000  0.0005564
 4290.000  0.0003089
 4300.000  0.0002124
 4310.000  0.0001707
 4320.000  0.0001550
 4330.000  0.0001555
 4340.000  0.0001696
 4350.000  0.0001985
 4360.000  0.0002460
 4370.000  0.0003185
 4380.000  0.0004262
 4390.000  0.0005855
 4400.000  0.0008222
 4410.000  0.0011588
 4420.000  0.0015310
 4430.000  0.0016688
 4440.000  0.0014263
 4450.000  0.0010769
 4460.000  0.0008224
 4470.000  0.0006779
 4480.000  0.0006164
 4490.000  0.0006223
 4500.000  0.0006992
 4510.000  0.0008288
 4520.000  0.0010585
 4530.000  0.0013999
 4540.000  0.0017439
 4550.000  0.0018119
 4560.000  0.0015548
 4570.000  0.0012387
 4580.000  0.0010164
 4590.000  0.0009001
 4600.000  0.0008738
 4610.000  0.0009337
 4620.000  0.0010957
 4630.000  0.0013894
 4640.000  0.0017973
 4650.000  0.0020762
 4660.000  0.0018792
 4670.000  0.0014060
 4680.000  0.0010129
 4690.000  0.0007686
 4700.000  0.0006316
 4710.000  0.0005648
 4720.000  0.0005491
 4730.000  0.0005792
 4740.000  0.0006617
 4750.000  0.0008149
 4760.000  0.0010641
 4770.000  0.0014039
 4780.000  0.0016932
 4790.000  0.0016857
 4800.000  0.0014118
 4810.000  0.0011135
 4820.000  0.0009017
 4830.000  0.0007783
 4840.000  0.0007245
 4850.000  0.0007300
 4860.000  0.0007982
 4870.000  0.0009513
 4880.000  0.0012454
 4890.000  0.0018108
 4900.000  0.0029444
 4910.000  0.0051411
 4920.000  0.0076045
 4930.000  0.0065917
 4940.000  0.0040318
 4950.000  0.0024222
 4960.000  0.0015485
 4970.000  0.0010426
 4980.000  0.0007250
 4990.000  0.0005148
 5000.000  0.0003721
 5010.000  0.0002745
 5020.000  0.0002076
 5030.000  0.0001617
 5040.000  0.0001302
 5050.000  0.0001085
 5060.000  0.0000939
 5070.000  0.0000843
 5080.000  0.0000787
 5090.000  0.0000766
 5100.000  0.0000777
 5110.000  0.0000826
 5120.000  0.0000923
 5130.000  0.0001093
 5140.000  0.0001386
 5150.000  0.0001917
 5160.000  0.0002986
 5170.000  0.0005553
 5180.000  0.0013934
 5190.000  0.0051753
 5200.000  0.0038933
 5210.000  0.0011477
 5220.000  0.0005156
 5230.000  0.0003015
 5240.000  0.0002069
 5250.000  0.0001585
 5260.000  0.0001319
 5270.000  0.0001173
 5280.000  0.0001105
 5290.000  0.0001095
 5300.000  0.0001137
 5310.000  0.0001234
 5320.000  0.0001395
 5330.000  0.0001636
 5340.000  0.0001978
 5350.000  0.0002430
 5360.000  0.0002960
 5370.000  0.0003451
 5380.000  0.0003718
 5390.000  0.0003657
 5400.000  0.0003353
 5410.000  0.0002975
 5420.000  0.0002640
 5430.000  0.0002392
 5440.000  0.0002238
 5450.000  0.0002173
 5460.000  0.0002199
 5470.000  0.0002324
 5480.000  0.0002570
 5490.000  0.0002985
 5500.000  0.0003656
 5510.000  0.0004753
 5520.000  0.0006606
 5530.000  0.0009863
 5540.000  0.0015621
 5550.000  0.0024265
 5560.000  0.0030089
 5570.000  0.0025808
 5580.000  0.0018143
 5590.000  0.0012685
 5600.000  0.0009433
 5610.000  0.0007529
 5620.000  0.0006409
 5630.000  0.0005774
 5640.000  0.0005465
 5650.000  0.0005400
 5660.000  0.0005535
 5670.000  0.0005844
 5680.000  0.0006294
 5690.000  0.0006824
 5700.000  0.0007321
 5710.000  0.0007622
 5720.000  0.0007581
 5730.000  0.0007167
 5740.000  0.0006494
 5750.000  0.0005733
 5760.000  0.0005016
 5770.000  0.0004411
 5780.000  0.0003936
 5790.000  0.0003582
 5800.000  0.0003337
 5810.000  0.0003185
