#creator: /Users/zhuqf/research/WFST/sensitivity/throughput/filter_trans/ioe/convert_ioe_filter_trans.pro
#source: #/Users/zhuqf/research/WFST/sensitivity/throughput/filter_trans/ioe//Users/zhuqf/research/WFST/sensitivity/throughput/filter_trans/ioe/z_filter.txt
col1  col2
 2500.000  0.0000000
 2510.000  0.0000000
 2520.000  0.0000000
 2530.000  0.0000000
 2540.000  0.0000000
 2550.000  0.0000000
 2560.000  0.0000000
 2570.000  0.0000000
 2580.000  0.0000000
 2590.000  0.0000000
 2600.000  0.0000000
 2610.000  0.0000000
 2620.000  0.0000000
 2630.000  0.0000000
 2640.000  0.0000000
 2650.000  0.0000000
 2660.000  0.0000000
 2670.000  0.0000000
 2680.000  0.0000000
 2690.000  0.0000000
 2700.000  0.0000000
 2710.000  0.0000000
 2720.000  0.0000000
 2730.000  0.0000000
 2740.000  0.0000000
 2750.000  0.0000000
 2760.000  0.0000000
 2770.000  0.0000000
 2780.000  0.0000000
 2790.000  0.0000000
 2800.000  0.0000000
 2810.000  0.0000000
 2820.000  0.0000000
 2830.000  0.0000000
 2840.000  0.0000000
 2850.000  0.0000000
 2860.000  0.0000000
 2870.000  0.0000000
 2880.000  0.0000000
 2890.000  0.0000000
 2900.000  0.0000000
 2910.000  0.0000000
 2920.000  0.0000000
 2930.000  0.0000000
 2940.000  0.0000000
 2950.000  0.0000000
 2960.000  0.0000001
 2970.000  0.0000004
 2980.000  0.0000040
 2990.000  0.0000463
 3000.000  0.0003565
 3010.000  0.0008364
 3020.000  0.0010882
 3030.000  0.0010187
 3040.000  0.0006412
 3050.000  0.0001055
 3060.000  0.0000642
 3070.000  0.0002083
 3080.000  0.0014695
 3090.000  0.0012786
 3100.000  0.0002376
 3110.000  0.0002010
 3120.000  0.0007543
 3130.000  0.0003851
 3140.000  0.0002431
 3150.000  0.0000895
 3160.000  0.0000451
 3170.000  0.0000517
 3180.000  0.0001001
 3190.000  0.0001503
 3200.000  0.0001734
 3210.000  0.0002525
 3220.000  0.0002238
 3230.000  0.0003350
 3240.000  0.0014540
 3250.000  0.0016879
 3260.000  0.0021645
 3270.000  0.0023371
 3280.000  0.0010363
 3290.000  0.0014963
 3300.000  0.0013093
 3310.000  0.0009033
 3320.000  0.0016248
 3330.000  0.0005744
 3340.000  0.0002522
 3350.000  0.0003295
 3360.000  0.0006703
 3370.000  0.0002903
 3380.000  0.0001999
 3390.000  0.0002990
 3400.000  0.0003022
 3410.000  0.0001669
 3420.000  0.0001938
 3430.000  0.0006716
 3440.000  0.0005876
 3450.000  0.0001811
 3460.000  0.0001618
 3470.000  0.0002822
 3480.000  0.0004881
 3490.000  0.0006599
 3500.000  0.0022254
 3510.000  0.0092853
 3520.000  0.0009697
 3530.000  0.0005855
 3540.000  0.0008602
 3550.000  0.0017054
 3560.000  0.0010738
 3570.000  0.0006091
 3580.000  0.0003454
 3590.000  0.0001499
 3600.000  0.0000667
 3610.000  0.0000340
 3620.000  0.0000192
 3630.000  0.0000120
 3640.000  0.0000085
 3650.000  0.0000068
 3660.000  0.0000062
 3670.000  0.0000063
 3680.000  0.0000069
 3690.000  0.0000084
 3700.000  0.0000117
 3710.000  0.0000184
 3720.000  0.0000282
 3730.000  0.0000362
 3740.000  0.0000440
 3750.000  0.0000644
 3760.000  0.0001137
 3770.000  0.0001359
 3780.000  0.0000963
 3790.000  0.0000810
 3800.000  0.0000996
 3810.000  0.0001816
 3820.000  0.0004487
 3830.000  0.0010184
 3840.000  0.0018008
 3850.000  0.0019554
 3860.000  0.0007388
 3870.000  0.0003731
 3880.000  0.0003273
 3890.000  0.0004932
 3900.000  0.0010089
 3910.000  0.0007477
 3920.000  0.0003934
 3930.000  0.0003369
 3940.000  0.0004573
 3950.000  0.0006712
 3960.000  0.0005108
 3970.000  0.0003466
 3980.000  0.0003605
 3990.000  0.0006700
 4000.000  0.0015569
 4010.000  0.0006597
 4020.000  0.0002742
 4030.000  0.0001838
 4040.000  0.0001790
 4050.000  0.0002374
 4060.000  0.0003906
 4070.000  0.0005859
 4080.000  0.0005907
 4090.000  0.0005546
 4100.000  0.0006771
 4110.000  0.0012018
 4120.000  0.0027103
 4130.000  0.0028670
 4140.000  0.0017478
 4150.000  0.0014183
 4160.000  0.0014928
 4170.000  0.0015717
 4180.000  0.0014164
 4190.000  0.0012955
 4200.000  0.0012738
 4210.000  0.0009168
 4220.000  0.0004351
 4230.000  0.0002160
 4240.000  0.0001355
 4250.000  0.0001085
 4260.000  0.0001070
 4270.000  0.0001163
 4280.000  0.0001067
 4290.000  0.0000712
 4300.000  0.0000437
 4310.000  0.0000302
 4320.000  0.0000249
 4330.000  0.0000248
 4340.000  0.0000303
 4350.000  0.0000463
 4360.000  0.0000886
 4370.000  0.0001676
 4380.000  0.0001586
 4390.000  0.0001017
 4400.000  0.0000773
 4410.000  0.0000748
 4420.000  0.0000882
 4430.000  0.0001115
 4440.000  0.0001195
 4450.000  0.0000988
 4460.000  0.0000769
 4470.000  0.0000664
 4480.000  0.0000662
 4490.000  0.0000735
 4500.000  0.0000817
 4510.000  0.0000786
 4520.000  0.0000673
 4530.000  0.0000552
 4540.000  0.0000473
 4550.000  0.0000438
 4560.000  0.0000438
 4570.000  0.0000455
 4580.000  0.0000457
 4590.000  0.0000414
 4600.000  0.0000341
 4610.000  0.0000273
 4620.000  0.0000227
 4630.000  0.0000204
 4640.000  0.0000200
 4650.000  0.0000218
 4660.000  0.0000264
 4670.000  0.0000361
 4680.000  0.0000565
 4690.000  0.0001041
 4700.000  0.0002355
 4710.000  0.0006761
 4720.000  0.0018763
 4730.000  0.0020712
 4740.000  0.0015347
 4750.000  0.0012960
 4760.000  0.0011162
 4770.000  0.0008539
 4780.000  0.0006142
 4790.000  0.0004743
 4800.000  0.0004254
 4810.000  0.0004606
 4820.000  0.0006154
 4830.000  0.0009575
 4840.000  0.0010734
 4850.000  0.0005730
 4860.000  0.0002716
 4870.000  0.0001527
 4880.000  0.0001020
 4890.000  0.0000786
 4900.000  0.0000683
 4910.000  0.0000660
 4920.000  0.0000703
 4930.000  0.0000820
 4940.000  0.0001044
 4950.000  0.0001445
 4960.000  0.0002156
 4970.000  0.0003407
 4980.000  0.0005546
 4990.000  0.0008940
 5000.000  0.0013586
 5010.000  0.0017896
 5020.000  0.0017966
 5030.000  0.0013651
 5040.000  0.0009359
 5050.000  0.0006736
 5060.000  0.0005433
 5070.000  0.0005046
 5080.000  0.0005511
 5090.000  0.0007295
 5100.000  0.0011940
 5110.000  0.0019221
 5120.000  0.0013159
 5130.000  0.0005498
 5140.000  0.0002646
 5150.000  0.0001542
 5160.000  0.0001045
 5170.000  0.0000799
 5180.000  0.0000675
 5190.000  0.0000624
 5200.000  0.0000625
 5210.000  0.0000677
 5220.000  0.0000793
 5230.000  0.0001005
 5240.000  0.0001381
 5250.000  0.0002068
 5260.000  0.0003373
 5270.000  0.0005919
 5280.000  0.0010642
 5290.000  0.0017518
 5300.000  0.0023122
 5310.000  0.0023815
 5320.000  0.0020140
 5330.000  0.0014614
 5340.000  0.0009708
 5350.000  0.0006391
 5360.000  0.0004405
 5370.000  0.0003258
 5380.000  0.0002604
 5390.000  0.0002248
 5400.000  0.0002087
 5410.000  0.0002069
 5420.000  0.0002167
 5430.000  0.0002349
 5440.000  0.0002552
 5450.000  0.0002663
 5460.000  0.0002580
 5470.000  0.0002320
 5480.000  0.0002003
 5490.000  0.0001729
 5500.000  0.0001538
 5510.000  0.0001435
 5520.000  0.0001418
 5530.000  0.0001493
 5540.000  0.0001681
 5550.000  0.0002035
 5560.000  0.0002662
 5570.000  0.0003771
 5580.000  0.0005747
 5590.000  0.0009052
 5600.000  0.0013160
 5610.000  0.0015227
 5620.000  0.0014160
 5630.000  0.0012344
 5640.000  0.0011211
 5650.000  0.0010872
 5660.000  0.0010921
 5670.000  0.0010537
 5680.000  0.0008951
 5690.000  0.0006589
 5700.000  0.0004506
 5710.000  0.0003086
 5720.000  0.0002204
 5730.000  0.0001666
 5740.000  0.0001335
 5750.000  0.0001132
 5760.000  0.0001014
 5770.000  0.0000955
 5780.000  0.0000945
 5790.000  0.0000981
 5800.000  0.0001069
 5810.000  0.0001222
